CMDLINE /Users/inki/anaconda/bin/python julia1_memoryprofiler1.py
MEM 40.589844 1510660625.1397
MEM 40.699219 1510660625.2428
MEM 40.398438 1510660625.3470
MEM 40.500000 1510660625.4502
MEM 40.609375 1510660625.5542
MEM 40.718750 1510660625.6571
MEM 40.820312 1510660625.7621
MEM 40.925781 1510660625.8640
MEM 41.039062 1510660625.9691
MEM 41.148438 1510660626.0741
MEM 41.250000 1510660626.1792
MEM 41.363281 1510660626.2843
MEM 41.472656 1510660626.3894
MEM 41.582031 1510660626.4943
MEM 41.683594 1510660626.5973
MEM 41.792969 1510660626.6994
MEM 41.902344 1510660626.8040
MEM 41.851562 1510660626.9091
MEM 41.953125 1510660627.0094
MEM 42.062500 1510660627.1110
MEM 42.164062 1510660627.2154
MEM 42.273438 1510660627.3179
MEM 42.382812 1510660627.4230
MEM 42.484375 1510660627.5265
MEM 42.593750 1510660627.6316
MEM 42.703125 1510660627.7345
MEM 42.812500 1510660627.8396
MEM 42.914062 1510660627.9399
MEM 43.019531 1510660628.0450
MEM 43.132812 1510660628.1500
MEM 43.234375 1510660628.2551
MEM 43.343750 1510660628.3587
MEM 43.453125 1510660628.4620
MEM 43.554688 1510660628.5671
MEM 43.140625 1510660628.6678
MEM 43.250000 1510660628.7706
MEM 43.351562 1510660628.8757
MEM 43.460938 1510660628.9808
MEM 43.570312 1510660629.0859
MEM 43.683594 1510660629.1910
MEM 43.785156 1510660629.2960
MEM 43.894531 1510660629.4001
MEM 44.003906 1510660629.5034
MEM 44.105469 1510660629.6085
MEM 44.214844 1510660629.7136
MEM 44.324219 1510660629.8183
MEM 44.433594 1510660629.9234
MEM 44.535156 1510660630.0248
MEM 44.644531 1510660630.1299
MEM 44.757812 1510660630.2350
MEM 44.855469 1510660630.3376
MEM 44.964844 1510660630.4382
MEM 44.675781 1510660630.5427
MEM 44.773438 1510660630.6430
MEM 44.882812 1510660630.7470
MEM 44.992188 1510660630.8500
MEM 45.105469 1510660630.9550
MEM 45.207031 1510660631.0601
MEM 45.316406 1510660631.1652
MEM 45.425781 1510660631.2658
MEM 45.535156 1510660631.3710
MEM 45.636719 1510660631.4761
MEM 45.750000 1510660631.5803
MEM 45.855469 1510660631.6830
MEM 45.960938 1510660631.7881
MEM 46.070312 1510660631.8933
MEM 46.175781 1510660631.9939
MEM 46.277344 1510660632.0990
MEM 46.382812 1510660632.2000
MEM 46.492188 1510660632.3050
MEM 46.593750 1510660632.4069
MEM 46.703125 1510660632.5120
MEM 46.812500 1510660632.6171
MEM 46.925781 1510660632.7222
MEM 46.804688 1510660632.8247
MEM 46.917969 1510660632.9298
MEM 47.027344 1510660633.0349
MEM 47.136719 1510660633.1400
MEM 47.238281 1510660633.2411
MEM 47.347656 1510660633.3462
MEM 47.457031 1510660633.4499
MEM 47.558594 1510660633.5550
MEM 47.671875 1510660633.6601
MEM 47.781250 1510660633.7652
MEM 47.890625 1510660633.8671
MEM 47.992188 1510660633.9718
MEM 48.101562 1510660634.0737
MEM 48.210938 1510660634.1788
MEM 48.308594 1510660634.2789
MEM 48.421875 1510660634.3840
MEM 48.531250 1510660634.4891
MEM 48.640625 1510660634.5942
MEM 48.738281 1510660634.6949
MEM 48.847656 1510660634.7970
MEM 48.957031 1510660634.9021
MEM 49.062500 1510660635.0066
MEM 49.171875 1510660635.1117
MEM 48.542969 1510660635.2124
MEM 48.644531 1510660635.3170
MEM 48.753906 1510660635.4221
MEM 48.859375 1510660635.5242
MEM 48.960938 1510660635.6293
MEM 49.066406 1510660635.7344
MEM 49.175781 1510660635.8371
MEM 49.273438 1510660635.9411
MEM 49.378906 1510660636.0454
MEM 49.488281 1510660636.1499
MEM 49.593750 1510660636.2550
MEM 49.699219 1510660636.3582
MEM 49.808594 1510660636.4634
MEM 49.910156 1510660636.5683
MEM 50.015625 1510660636.6684
MEM 50.125000 1510660636.7703
MEM 50.226562 1510660636.8754
MEM 50.335938 1510660636.9805
MEM 50.445312 1510660637.0836
MEM 50.554688 1510660637.1887
MEM 50.656250 1510660637.2938
MEM 50.765625 1510660637.3960
MEM 50.875000 1510660637.5011
MEM 50.976562 1510660637.6043
MEM 51.085938 1510660637.7076
MEM 51.191406 1510660637.8098
MEM 51.292969 1510660637.9125
MEM 51.402344 1510660638.0157
MEM 51.234375 1510660638.1208
MEM 51.335938 1510660638.2260
MEM 51.445312 1510660638.3262
MEM 51.554688 1510660638.4313
MEM 51.664062 1510660638.5351
MEM 51.765625 1510660638.6402
MEM 51.871094 1510660638.7415
MEM 51.980469 1510660638.8467
MEM 52.082031 1510660638.9516
MEM 52.195312 1510660639.0568
MEM 52.304688 1510660639.1607
MEM 52.406250 1510660639.2615
MEM 52.515625 1510660639.3666
MEM 52.625000 1510660639.4708
MEM 52.730469 1510660639.5709
MEM 52.832031 1510660639.6721
MEM 52.937500 1510660639.7723
MEM 53.046875 1510660639.8774
MEM 53.148438 1510660639.9826
MEM 53.257812 1510660640.0866
MEM 53.367188 1510660640.1879
